# n_hidden, lambdaval, accuracy
0, 0, 10.0000
0, 10, 10.0000
0, 20, 10.0000
0, 30, 10.0000
0, 40, 10.0000
0, 50, 10.0000
4, 0, 68.1500
4, 10, 69.5400
4, 20, 63.4900
4, 30, 47.0200
4, 40, 65.3300
4, 50, 59.1600
8, 0, 89.3800
8, 10, 89.2600
8, 20, 86.2600
8, 30, 86.4600
8, 40, 88.6000
8, 50, 88.9000
12, 0, 88.5200
12, 10, 90.4800
12, 20, 89.6200
12, 30, 90.9200
12, 40, 90.7700
12, 50, 90.9400
16, 0, 92.2200
16, 10, 92.2600
16, 20, 92.4900
16, 30, 92.3400
16, 40, 91.9800
16, 50, 91.3400
20, 0, 92.8600
20, 10, 92.8100
20, 20, 92.8600
20, 30, 92.4600
20, 40, 92.1400
20, 50, 92.0000
24, 0, 93.4800
24, 10, 93.3400
24, 20, 93.2900
24, 30, 93.5100
24, 40, 92.8400
24, 50, 92.7100
28, 0, 93.3800
28, 10, 93.8200
28, 20, 93.5700
28, 30, 93.3000
28, 40, 92.9500
28, 50, 92.3400
32, 0, 93.9200
32, 10, 93.4000
32, 20, 93.9600
32, 30, 93.1500
32, 40, 93.2600
32, 50, 93.2300
36, 0, 94.1800
36, 10, 94.4000
36, 20, 94.0800
36, 30, 93.7400
36, 40, 93.5000
36, 50, 92.9300
40, 0, 94.3600
40, 10, 93.6500
40, 20, 94.0400
40, 30, 93.6800
40, 40, 93.8000
40, 50, 93.4900
44, 0, 94.7600
44, 10, 94.3900
44, 20, 94.5200
44, 30, 94.2900
44, 40, 94.1100
44, 50, 93.6500
48, 0, 95.0900
48, 10, 93.8700
48, 20, 94.1500
48, 30, 94.3600
48, 40, 93.6400
48, 50, 93.4300
52, 0, 94.7500
52, 10, 94.3500
52, 20, 94.4500
52, 30, 94.5000
52, 40, 93.9400
52, 50, 93.5900
56, 0, 94.7400
56, 10, 94.2700
56, 20, 94.3300
56, 30, 94.6200
56, 40, 94.1000
56, 50, 93.6600
