# n_hidden, lambdaval, accuracy
40, 0, 94.0700
40, 5, 94.1100
40, 10, 94.3300
40, 15, 94.4400
40, 20, 93.6700
40, 25, 93.8600
42, 0, 94.0300
42, 5, 93.8100
42, 10, 94.1700
42, 15, 94.1900
42, 20, 93.8500
42, 25, 93.9400
44, 0, 94.2600
44, 5, 94.6100
44, 10, 94.0200
44, 15, 94.0400
44, 20, 93.8500
44, 25, 93.6700
46, 0, 94.2100
46, 5, 94.3300
46, 10, 94.0900
46, 15, 94.2000
46, 20, 94.1500
46, 25, 94.0000
48, 0, 94.6500
48, 5, 94.4300
48, 10, 94.3900
48, 15, 94.3100
48, 20, 94.2200
48, 25, 94.3600
50, 0, 94.3600
50, 5, 94.5200
50, 10, 94.1100
50, 15, 94.4000
50, 20, 93.9400
50, 25, 94.0600
52, 0, 93.9400
52, 5, 94.4200
52, 10, 94.4700
52, 15, 94.3700
52, 20, 94.2000
52, 25, 94.1600
54, 0, 94.1500
54, 5, 94.6300
54, 10, 94.1000
54, 15, 94.2100
54, 20, 94.1000
54, 25, 94.1200
