# n_hidden, lambdaval, accuracy
10, 0, 89.2600
10, 10, 89.3300
10, 20, 88.3300
10, 30, 90.4400
10, 40, 89.9000
10, 50, 89.7100
10, 60, 90.2700
10, 70, 88.6700
10, 80, 86.4900
10, 90, 88.5600
20, 0, 92.4600
20, 10, 92.6000
20, 20, 92.4400
20, 30, 92.9400
20, 40, 92.4700
20, 50, 91.6300
20, 60, 92.1200
20, 70, 91.5600
20, 80, 91.4300
20, 90, 91.2600
30, 0, 94.1100
30, 10, 93.8000
30, 20, 93.0200
30, 30, 93.3100
30, 40, 93.1100
30, 50, 92.8700
30, 60, 92.6800
30, 70, 92.1800
30, 80, 92.3800
30, 90, 91.8500
40, 0, 94.4400
40, 10, 93.9100
40, 20, 94.0900
40, 30, 93.9600
40, 40, 93.6300
40, 50, 93.0000
40, 60, 92.9500
40, 70, 92.8600
40, 80, 92.4000
40, 90, 91.9800
50, 0, 94.2700
50, 10, 94.3300
50, 20, 94.4200
50, 30, 93.9600
50, 40, 93.9200
50, 50, 93.4600
50, 60, 93.5100
50, 70, 92.8800
50, 80, 92.5800
50, 90, 92.5000
60, 0, 94.3800
60, 10, 94.5800
60, 20, 94.3000
60, 30, 94.2000
60, 40, 94.0900
60, 50, 93.7300
60, 60, 93.5100
60, 70, 92.8300
60, 80, 92.2000
60, 90, 92.0100
70, 0, 94.6100
70, 10, 94.8800
70, 20, 94.7900
70, 30, 94.2900
70, 40, 93.5400
70, 50, 92.8100
70, 60, 93.5900
70, 70, 92.8400
70, 80, 92.2300
70, 90, 91.8400
80, 0, 94.8400
80, 10, 94.3500
80, 20, 94.6400
80, 30, 93.3400
80, 40, 93.7600
80, 50, 93.0400
80, 60, 93.1200
80, 70, 92.8700
80, 80, 92.1500
80, 90, 91.6800
90, 0, 94.8500
90, 10, 94.9800
90, 20, 94.6700
90, 30, 94.4000
90, 40, 94.2800
90, 50, 93.3800
90, 60, 92.6200
90, 70, 92.2100
90, 80, 92.3300
90, 90, 91.5000
100, 0, 95.2800
100, 10, 94.7600
100, 20, 94.4000
100, 30, 94.1700
100, 40, 93.9300
100, 50, 93.7300
100, 60, 93.1400
100, 70, 92.6900
100, 80, 92.5500
100, 90, 92.1400
110, 0, 94.9100
110, 10, 94.8300
110, 20, 94.7200
110, 30, 94.1200
110, 40, 92.6200
110, 50, 92.5600
110, 60, 92.7900
110, 70, 92.5200
110, 80, 91.8300
110, 90, 91.9800
120, 0, 94.2400
120, 10, 94.0700
120, 20, 94.0500
120, 30, 93.6000
120, 40, 93.0300
120, 50, 92.8600
120, 60, 92.1600
120, 70, 92.2000
120, 80, 91.9400
120, 90, 91.5100
130, 0, 93.9900
130, 10, 93.1100
130, 20, 93.7600
130, 30, 93.2900
130, 40, 92.5400
130, 50, 92.3300
130, 60, 91.4300
130, 70, 91.8500
130, 80, 91.3200
130, 90, 90.6900
140, 0, 94.7000
140, 10, 94.0800
140, 20, 93.5200
140, 30, 93.1300
140, 40, 91.9000
140, 50, 91.9100
140, 60, 91.5800
140, 70, 92.1300
140, 80, 91.1400
140, 90, 91.5400
150, 0, 93.8600
150, 10, 94.0800
150, 20, 92.8400
150, 30, 92.2000
150, 40, 92.4900
150, 50, 92.5100
150, 60, 91.7600
150, 70, 91.0200
150, 80, 91.6800
150, 90, 91.4000
160, 0, 92.6600
160, 10, 92.5300
160, 20, 92.3900
160, 30, 91.4800
160, 40, 92.6700
160, 50, 92.4500
160, 60, 91.9300
160, 70, 91.7100
160, 80, 91.4200
160, 90, 90.9400
170, 0, 94.1300
170, 10, 94.3800
170, 20, 93.0700
170, 30, 92.2100
170, 40, 92.1700
170, 50, 90.8200
170, 60, 91.7900
170, 70, 91.2400
170, 80, 91.4800
170, 90, 91.6000
180, 0, 92.8800
180, 10, 91.7100
180, 20, 92.5300
180, 30, 92.0700
180, 40, 91.9500
180, 50, 91.1600
180, 60, 91.8700
180, 70, 91.7900
180, 80, 91.1900
180, 90, 90.9000
190, 0, 92.0200
190, 10, 92.1900
190, 20, 91.4700
190, 30, 93.1600
190, 40, 91.5000
190, 50, 91.2400
190, 60, 90.9700
190, 70, 91.7700
190, 80, 91.2000
190, 90, 91.0800
