# n_hidden, lambdaval, accuracy, training_accuracy
100, 0.0000, 94.4900, 94.9060
100, 0.0500, 95.2400, 95.6880
100, 0.1000, 94.9100, 95.1860
100, 0.1500, 95.6200, 95.9920
100, 0.2000, 94.7300, 95.2880
100, 0.2500, 95.4200, 95.9000
100, 0.3000, 95.1800, 95.5520
100, 0.3500, 94.8700, 95.4060
100, 0.4000, 95.1800, 95.5860
100, 0.4500, 95.3300, 95.6620
100, 0.5000, 95.7200, 96.2020
100, 0.5500, 95.2900, 95.5180
100, 0.6000, 95.4900, 95.9460
100, 0.6500, 95.4100, 95.9220
100, 0.7000, 95.0700, 95.6780
100, 0.7500, 94.9900, 95.5640
100, 0.8000, 95.3900, 95.7760
100, 0.8500, 95.5100, 96.0060
100, 0.9000, 95.1500, 95.5840
100, 0.9500, 95.4100, 95.9820
