# n_hidden, lambdaval, accuracy
100, 0.1, 95.3600
100, 0.2, 94.8600
100, 0.3, 95.1600
100, 0.4, 94.7500
100, 0.5, 94.6600
100, 0.6, 94.7300
100, 0.7, 95.1100
100, 0.8, 94.9000
100, 0.9, 95.0300
100, 1.0, 94.5600
100, 1.1, 95.2800
100, 1.2, 94.8500
100, 1.3, 95.0600
100, 1.4, 95.4100
100, 1.5, 94.5100
100, 1.6, 94.3400
100, 1.7, 94.9900
100, 1.8, 95.0800
100, 1.9, 94.9000
100, 2.0, 95.1800
100, 2.1, 95.3600
100, 2.2, 94.8500
100, 2.3, 94.6700
100, 2.4, 94.9000
100, 2.5, 94.7400
100, 2.6, 94.9200
100, 2.7, 95.1600
100, 2.8, 95.1000
100, 2.9, 95.3000
100, 3.0, 94.9800
100, 3.1, 95.0700
100, 3.2, 94.1000
100, 3.3, 94.8500
100, 3.4, 94.5100
100, 3.5, 94.6400
100, 3.6, 95.1900
100, 3.7, 94.9000
100, 3.8, 95.0900
100, 3.9, 95.3400
100, 4.0, 95.0700
100, 4.1, 95.2200
100, 4.2, 94.7100
100, 4.3, 94.8300
100, 4.4, 94.8100
100, 4.5, 95.2900
100, 4.6, 94.8300
100, 4.7, 94.1700
100, 4.8, 94.6300
100, 4.9, 94.8600
100, 5, 93.5000
