# n_hidden, lambdaval, training_time
0, 0, 1.2839
0, 10, 1.3304
0, 20, 1.3100
0, 30, 1.2680
0, 40, 1.2446
0, 50, 1.2477
4, 0, 13.8965
4, 10, 14.9821
4, 20, 13.8081
4, 30, 15.2513
4, 40, 12.8332
4, 50, 14.5281
8, 0, 15.1865
8, 10, 14.9809
8, 20, 13.8547
8, 30, 15.1479
8, 40, 14.1382
8, 50, 13.9925
12, 0, 16.0177
12, 10, 16.9817
12, 20, 15.4701
12, 30, 15.3290
12, 40, 15.3338
12, 50, 15.3345
16, 0, 16.6702
16, 10, 16.3480
16, 20, 16.0175
16, 30, 15.9431
16, 40, 16.3060
16, 50, 16.2716
20, 0, 19.9355
20, 10, 18.0632
20, 20, 17.6584
20, 30, 17.5846
20, 40, 17.2621
20, 50, 17.1387
24, 0, 18.6337
24, 10, 17.2145
24, 20, 17.7343
24, 30, 18.7816
24, 40, 18.6534
24, 50, 18.0414
28, 0, 20.2376
28, 10, 19.1468
28, 20, 19.2859
28, 30, 19.0666
28, 40, 19.7515
28, 50, 18.3354
32, 0, 24.0800
32, 10, 23.1372
32, 20, 21.4984
32, 30, 20.3246
32, 40, 22.0615
32, 50, 20.5464
36, 0, 22.0791
36, 10, 21.5300
36, 20, 21.3633
36, 30, 22.0009
36, 40, 21.2277
36, 50, 22.2089
40, 0, 24.7866
40, 10, 22.9156
40, 20, 22.1131
40, 30, 21.9221
40, 40, 20.0434
40, 50, 20.3341
44, 0, 22.3672
44, 10, 21.9880
44, 20, 21.1957
44, 30, 19.7687
44, 40, 20.6150
44, 50, 20.7776
48, 0, 21.2360
48, 10, 20.2839
48, 20, 20.7201
48, 30, 20.3209
48, 40, 20.9847
48, 50, 19.5792
52, 0, 22.5342
52, 10, 21.2755
52, 20, 21.8054
52, 30, 21.2250
52, 40, 21.2154
52, 50, 21.2239
56, 0, 21.6089
56, 10, 21.8153
56, 20, 21.8000
56, 30, 22.0120
56, 40, 21.8039
56, 50, 21.5798
