# n_hidden, lambdaval, training_time
40, 0, 19.1306
40, 5, 22.5038
40, 10, 20.5940
40, 15, 19.0016
40, 20, 19.3983
40, 25, 19.4366
42, 0, 21.6943
42, 5, 23.0466
42, 10, 19.1334
42, 15, 20.1172
42, 20, 19.6805
42, 25, 19.6761
44, 0, 22.4874
44, 5, 20.4738
44, 10, 21.0617
44, 15, 19.9319
44, 20, 19.3640
44, 25, 19.9269
46, 0, 21.1226
46, 5, 21.3512
46, 10, 20.1332
46, 15, 20.9207
46, 20, 20.8622
46, 25, 20.1535
48, 0, 19.8429
48, 5, 20.2596
48, 10, 20.8472
48, 15, 20.4383
48, 20, 20.4100
48, 25, 20.2163
50, 0, 22.8710
50, 5, 21.1949
50, 10, 20.7719
50, 15, 20.3532
50, 20, 20.5940
50, 25, 21.3719
52, 0, 23.2528
52, 5, 21.8837
52, 10, 20.9881
52, 15, 21.1618
52, 20, 20.5697
52, 25, 20.3345
54, 0, 22.3940
54, 5, 22.5839
54, 10, 22.2177
54, 15, 22.4143
54, 20, 20.8915
54, 25, 20.9061
