# n_hidden, lambdaval, training_time
10, 0, 7.1269
10, 10, 7.2191
10, 20, 7.1307
10, 30, 7.0970
10, 40, 7.0520
10, 50, 7.1409
10, 60, 7.1442
10, 70, 7.0880
10, 80, 7.0063
10, 90, 7.0124
20, 0, 8.3709
20, 10, 7.9695
20, 20, 7.8486
20, 30, 7.8513
20, 40, 8.0870
20, 50, 7.8227
20, 60, 7.6987
20, 70, 7.6233
20, 80, 7.5899
20, 90, 7.7454
30, 0, 9.4437
30, 10, 8.4041
30, 20, 9.2780
30, 30, 7.9288
30, 40, 8.1384
30, 50, 8.1553
30, 60, 7.8354
30, 70, 7.8057
30, 80, 8.1956
30, 90, 8.0532
40, 0, 9.0042
40, 10, 8.9839
40, 20, 8.4951
40, 30, 9.0950
40, 40, 8.8361
40, 50, 8.7458
40, 60, 8.4300
40, 70, 8.7309
40, 80, 8.5660
40, 90, 8.5582
50, 0, 10.1414
50, 10, 9.5185
50, 20, 9.4604
50, 30, 9.7925
50, 40, 9.6529
50, 50, 9.5516
50, 60, 9.6033
50, 70, 10.0164
50, 80, 9.7201
50, 90, 9.4752
60, 0, 10.7423
60, 10, 11.4393
60, 20, 10.1336
60, 30, 10.2356
60, 40, 10.5109
60, 50, 10.1912
60, 60, 10.4056
60, 70, 10.0002
60, 80, 9.6606
60, 90, 9.8532
70, 0, 11.3584
70, 10, 11.9218
70, 20, 11.0176
70, 30, 11.2162
70, 40, 10.2258
70, 50, 10.3004
70, 60, 11.0344
70, 70, 10.8063
70, 80, 10.1083
70, 90, 10.1128
80, 0, 12.5371
80, 10, 11.2060
80, 20, 11.5633
80, 30, 10.9963
80, 40, 11.7067
80, 50, 10.7576
80, 60, 11.2742
80, 70, 11.2301
80, 80, 10.5708
80, 90, 9.9814
90, 0, 12.6859
90, 10, 12.5979
90, 20, 13.4156
90, 30, 13.2166
90, 40, 13.5667
90, 50, 12.4571
90, 60, 12.5157
90, 70, 12.5522
90, 80, 12.3962
90, 90, 10.9183
100, 0, 14.6891
100, 10, 14.9898
100, 20, 13.8961
100, 30, 13.6309
100, 40, 13.5978
100, 50, 13.6774
100, 60, 13.7296
100, 70, 13.6093
100, 80, 12.2374
100, 90, 12.9188
110, 0, 15.9514
110, 10, 14.2604
110, 20, 15.1710
110, 30, 14.8687
110, 40, 14.3582
110, 50, 14.3578
110, 60, 13.8225
110, 70, 14.2932
110, 80, 12.9719
110, 90, 13.1083
120, 0, 14.8021
120, 10, 14.9096
120, 20, 14.0595
120, 30, 15.0234
120, 40, 14.0678
120, 50, 14.0825
120, 60, 14.0491
120, 70, 14.4938
120, 80, 14.0923
120, 90, 12.9236
130, 0, 14.8637
130, 10, 14.7801
130, 20, 16.5479
130, 30, 16.5526
130, 40, 14.6102
130, 50, 15.4528
130, 60, 14.7823
130, 70, 14.9371
130, 80, 14.0483
130, 90, 13.5507
140, 0, 16.7338
140, 10, 16.6056
140, 20, 17.2047
140, 30, 15.9130
140, 40, 15.0088
140, 50, 14.5123
140, 60, 14.6415
140, 70, 15.5453
140, 80, 14.7528
140, 90, 14.0312
150, 0, 16.3112
150, 10, 17.1942
150, 20, 15.2795
150, 30, 16.1954
150, 40, 15.1609
150, 50, 16.7164
150, 60, 14.9966
150, 70, 15.3390
150, 80, 14.9892
150, 90, 14.9056
160, 0, 16.6545
160, 10, 17.5962
160, 20, 16.7824
160, 30, 16.4550
160, 40, 17.0244
160, 50, 16.3674
160, 60, 15.7852
160, 70, 16.2179
160, 80, 15.6277
160, 90, 14.5016
170, 0, 18.3391
170, 10, 17.8811
170, 20, 17.6423
170, 30, 16.6097
170, 40, 15.8327
170, 50, 16.0420
170, 60, 16.7826
170, 70, 16.1623
170, 80, 15.9151
170, 90, 16.2013
180, 0, 18.2497
180, 10, 17.0406
180, 20, 17.7087
180, 30, 17.2607
180, 40, 17.8646
180, 50, 15.6305
180, 60, 18.6038
180, 70, 17.0291
180, 80, 16.3194
180, 90, 16.2017
190, 0, 18.9150
190, 10, 17.6801
190, 20, 16.8036
190, 30, 18.0560
190, 40, 17.9441
190, 50, 18.5745
190, 60, 17.7186
190, 70, 17.6588
190, 80, 17.2711
190, 90, 19.4809
