# n_hidden, lambdaval, training_time
100, 0, 14.6074
100, 0, 13.8439
100, 0, 15.9024
100, 0, 14.8334
100, 0, 13.6442
100, 0, 14.2156
100, 0, 14.2934
100, 0, 13.9314
100, 0, 14.3692
100, 1, 13.6669
100, 1, 14.7294
100, 1, 14.7224
100, 1, 14.7015
100, 1, 14.9017
100, 1, 13.8740
100, 1, 14.2797
100, 1, 14.0661
100, 1, 13.9845
100, 1, 14.5035
100, 2, 15.0880
100, 2, 15.3030
100, 2, 14.5913
100, 2, 13.7643
100, 2, 13.8725
100, 2, 14.1635
100, 2, 14.5803
100, 2, 14.5100
100, 2, 15.0352
100, 2, 14.7368
100, 3, 14.1483
100, 3, 15.0677
100, 3, 13.5969
100, 3, 14.5601
100, 3, 14.0600
100, 3, 14.4323
100, 3, 14.6494
100, 3, 14.6827
100, 3, 14.3849
100, 3, 15.4064
100, 4, 14.4359
100, 4, 14.7988
100, 4, 14.4163
100, 4, 14.1519
100, 4, 14.1472
100, 4, 14.7648
100, 4, 14.5950
100, 4, 13.7773
100, 4, 14.7841
100, 4, 15.2454
100, 5, 13.2228
